ID,Year_Birth,Education,Marital_Status,Income,Kidsin_home,Teenin_home,Date_became_customer,numberofdayssincelastpurchase,AmountspentDrinks,AmountspentFruits,AmountspentMeat,AmountspentFish,AmountspentSweet,AmountspentGold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,total_spent,age,total_children,total_camp_accepted,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Churn_Risk,fav_category,Deal_User_Type,Age_group,Has_child,total_purchases,Country
387,1976,Undergraduate,Couple,7500,0,0,13/11/2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,39,0,0,2,1,2,5,Low Risk,Fruits,Light,Adult,No child,5,Spain
2125,1959,Master,Alone,63033,0,0,15/11/2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,56,0,0,1,3,4,8,Low Risk,Meat,Light,Adult,No child,15,Germany
8180,1952,Master,Alone,59354,1,1,15/11/2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,63,2,0,3,3,3,9,Low Risk,Drinks,Medium,Adult,Has child,12,Spain
2569,1987,Master,Couple,17323,0,0,10/10/2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,28,0,0,4,1,1,6,Low Risk,Meat,Light,Adult,No child,4,Spain
2114,1946,PHD,Alone,82800,0,0,24/11/2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,69,0,2,4,5,5,14,Low Risk,Drinks,Light,Senior,No child,25,Spain
9736,1980,Master,Couple,41850,1,1,24/12/2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,35,2,0,3,2,2,7,Low Risk,Drinks,Medium,Adult,Has child,6,India
4939,1946,Master,Couple,37760,0,0,31/08/2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,69,0,0,4,3,3,10,Low Risk,Fish,Medium,Senior,No child,11,Germany
6565,1949,Master,Couple,76995,0,1,28/03/2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,66,1,1,1,5,5,11,High Risk,Drinks,Medium,Senior,Has child,24,Spain
2278,1985,Undergraduate,Alone,33812,1,0,03/11/2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,30,1,0,1,2,2,5,Low Risk,Gold,Medium,Adult,Has child,6,Spain
9360,1982,Master,Couple,37040,0,0,08/08/2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,33,0,0,3,3,3,9,Low Risk,Drinks,Light,Adult,No child,11,USA
5376,1979,Master,Couple,2447,1,0,06/01/2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,36,1,0,3,5,5,13,Low Risk,Meat,Heavy,Adult,Has child,28,Australia
1993,1949,PHD,Couple,58607,0,1,23/12/2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,66,1,1,2,3,4,9,Low Risk,Drinks,Medium,Senior,Has child,14,Germany
4047,1954,PHD,Couple,65324,0,1,11/01/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,61,1,0,5,4,3,12,Low Risk,Drinks,Medium,Adult,Has child,17,Australia
1409,1951,Master,Couple,40689,0,1,18/03/2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,64,1,0,2,3,3,8,Low Risk,Drinks,Heavy,Adult,Has child,13,Spain
7892,1969,Master,Alone,18589,0,0,02/01/2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,46,0,0,1,2,2,5,Low Risk,Meat,Medium,Adult,No child,6,South Africa
2404,1976,Master,Couple,53359,1,1,27/05/2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,39,2,0,5,3,3,11,Low Risk,Drinks,Heavy,Adult,Has child,10,Australia
9422,1989,Master,Couple,38360,1,0,31/05/2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,26,1,0,4,2,2,8,Low Risk,Meat,Medium,Adult,Has child,7,Spain
1966,1965,PHD,Couple,84618,0,0,22/11/2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,50,0,1,1,5,5,11,High Risk,Meat,Light,Adult,No child,25,Spain
6864,1989,Master,Alone,10979,0,0,22/05/2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,26,0,0,4,2,1,7,Low Risk,Meat,Medium,Adult,No child,6,Spain
3033,1963,Master,Couple,38620,0,0,11/05/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,52,0,0,3,3,3,9,Low Risk,Drinks,Light,Adult,No child,10,Germany
5710,1970,Master,Couple,40548,0,1,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,45,1,1,4,2,2,8,Low Risk,Drinks,Medium,Adult,Has child,7,India
7373,1952,PHD,Alone,46610,0,2,29/10/2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,63,2,0,5,3,3,11,Low Risk,Drinks,Heavy,Adult,Has child,11,Spain
8755,1946,Master,Couple,68657,0,0,20/02/2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,69,0,0,5,4,5,14,Low Risk,Drinks,Light,Senior,No child,17,South Africa
10738,1951,Master,Alone,49389,1,1,29/08/2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,64,2,0,3,1,2,6,Low Risk,Drinks,Light,Adult,Has child,5,Spain
4339,1970,PHD,Couple,67353,0,1,31/12/2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,45,1,0,4,5,4,13,Low Risk,Drinks,Heavy,Adult,Has child,23,Canada
10755,1976,Undergraduate,Couple,23718,1,0,02/09/2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,39,1,0,2,2,2,6,Low Risk,Gold,Medium,Adult,Has child,6,Spain
8595,1973,Master,Alone,42429,0,1,11/02/2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,42,1,0,1,1,2,4,Low Risk,Drinks,Medium,Adult,Has child,5,Canada
2968,1943,PHD,Alone,48948,0,0,01/02/2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,72,0,1,3,5,4,12,Low Risk,Drinks,Medium,Senior,No child,22,Spain
8601,1980,Master,Couple,80011,0,1,29/04/2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,35,1,0,5,4,5,14,Low Risk,Meat,Medium,Adult,Has child,19,Spain
503,1985,Master,Couple,20559,1,0,12/03/2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,30,1,0,1,1,1,3,Low Risk,Meat,Medium,Adult,Has child,5,Spain
8430,1957,Master,Couple,21994,0,1,24/12/2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,58,1,0,5,1,1,7,Low Risk,Drinks,Light,Adult,Has child,3,South Africa
2139,1975,Master,Couple,7500,1,0,02/10/2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,40,1,0,5,1,1,7,Low Risk,Gold,Medium,Adult,Has child,5,Canada
1371,1976,Master,Alone,79941,0,0,28/06/2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,39,0,0,2,3,4,9,Low Risk,Meat,Light,Adult,No child,15,Canada
9909,1996,Undergraduate,Couple,7500,0,0,09/11/2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,19,0,0,4,2,2,8,Low Risk,Gold,Medium,Youth,No child,7,South Africa
7286,1968,Master,Couple,41728,1,0,24/05/2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,47,1,0,1,1,1,3,Low Risk,Meat,Light,Adult,Has child,4,Spain
6566,1954,PHD,Couple,72550,1,1,08/11/2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,61,2,0,4,4,5,13,Low Risk,Drinks,Heavy,Adult,Has child,19,Spain
8614,1957,Master,Alone,65486,0,1,12/05/2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,58,1,0,4,4,3,11,Low Risk,Drinks,Light,Adult,Has child,16,Canada
4114,1964,Master,Couple,79143,0,0,11/08/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,51,0,0,5,5,5,15,Low Risk,Meat,Light,Adult,No child,28,Australia
1331,1977,Master,Alone,35790,1,0,02/01/2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,38,1,0,3,1,2,6,Low Risk,Fish,Medium,Adult,Has child,5,South Africa
2225,1977,Master,Alone,82582,0,0,07/06/2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,38,0,2,3,4,5,12,Low Risk,Meat,Light,Adult,No child,20,Australia
9381,1978,Master,Couple,66373,1,1,12/06/2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,37,2,0,3,4,3,10,Low Risk,Drinks,Heavy,Adult,Has child,16,South Africa
6260,1955,Master,Couple,82384,0,0,19/11/2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,60,0,1,3,5,5,13,Low Risk,Drinks,Light,Adult,No child,26,Spain
10383,1966,Master,Alone,70287,0,0,02/04/2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,49,0,0,4,4,4,12,Low Risk,Meat,Light,Adult,No child,20,Spain
7437,1988,Master,Alone,27938,1,0,28/04/2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,27,1,0,4,1,1,6,Low Risk,Drinks,Light,Adult,Has child,5,USA
8375,1968,PHD,Couple,55954,0,1,03/03/2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,47,1,0,2,4,3,9,Low Risk,Drinks,Medium,Adult,Has child,16,South Africa
6853,1982,Master,Alone,75777,0,0,04/07/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1438,33,0,2,5,4,5,14,Low Risk,Drinks,Light,Adult,No child,20,Australia
3076,1975,Master,Couple,66653,1,1,07/09/2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,40,2,0,5,4,3,12,Low Risk,Drinks,Heavy,Adult,Has child,18,Spain
1012,1952,Master,Alone,61823,0,1,18/02/2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,63,1,0,4,4,4,12,Low Risk,Drinks,Heavy,Adult,Has child,20,Spain
6518,1951,PHD,Alone,67680,0,1,11/06/2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,64,1,0,5,4,3,12,Low Risk,Drinks,Light,Adult,Has child,18,Spain
4137,1948,Master,Couple,70666,0,0,06/12/2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,67,0,0,4,3,4,11,Low Risk,Drinks,Light,Senior,No child,15,Germany
8082,1971,Master,Couple,25721,1,0,21/05/2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,44,1,0,2,1,1,4,Low Risk,Gold,Light,Adult,Has child,4,India
1386,1967,Master,Couple,32474,1,1,11/05/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,48,2,0,5,1,1,7,Low Risk,Drinks,Light,Adult,Has child,3,India
9369,1979,Undergraduate,Alone,88194,0,1,19/03/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1274,36,1,2,5,5,5,15,Low Risk,Drinks,Light,Adult,Has child,31,Spain
4477,1958,Master,Couple,69096,0,1,27/09/2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,57,1,0,5,4,4,13,Low Risk,Drinks,Light,Adult,Has child,17,USA
1357,1970,Master,Couple,74854,1,2,08/04/2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,45,3,0,1,3,5,9,High Risk,Drinks,Heavy,Adult,Has child,12,Spain
1402,1954,Master,Couple,66991,0,0,11/09/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,61,0,0,5,4,5,14,Low Risk,Drinks,Medium,Adult,No child,18,Spain
6312,1959,Master,Couple,65031,0,1,17/03/2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,56,1,0,4,5,4,13,Low Risk,Meat,Heavy,Adult,Has child,26,Canada
8132,1975,PHD,Couple,60631,1,1,05/04/2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,40,2,1,1,4,4,9,Low Risk,Drinks,Heavy,Adult,Has child,19,Canada
1050,1952,Master,Couple,28332,0,0,30/04/2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,63,0,0,3,2,2,7,Low Risk,Sweet,Light,Adult,No child,7,Canada
5846,1977,Master,Alone,40246,1,0,19/12/2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,38,1,0,2,1,1,4,Low Risk,Meat,Light,Adult,Has child,3,Spain
1859,1972,Master,Couple,75251,0,0,27/08/2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,43,0,0,4,4,5,13,Low Risk,Meat,Light,Adult,No child,18,Spain
7503,1976,Master,Alone,75825,0,0,12/10/2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2209,39,0,1,3,5,5,13,Low Risk,Drinks,Light,Adult,No child,22,Spain
10401,1976,Undergraduate,Couple,26326,0,0,04/09/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,39,0,0,5,1,1,7,Low Risk,Gold,Light,Adult,No child,3,Spain
1618,1965,Master,Couple,56046,0,0,02/01/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,50,0,1,5,4,4,13,Low Risk,Drinks,Medium,Adult,No child,19,Spain
3332,1985,Master,Alone,29760,1,0,29/08/2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,30,1,0,1,2,2,5,Low Risk,Meat,Heavy,Adult,Has child,8,Canada
2261,1969,Master,Couple,26304,1,0,23/06/2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,46,1,0,5,1,1,7,Low Risk,Meat,Light,Adult,Has child,3,Australia
5346,1973,Undergraduate,Couple,23559,1,0,03/07/2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,42,1,0,1,2,2,5,Low Risk,Drinks,Medium,Adult,Has child,6,Spain
4119,1963,Master,Couple,38620,0,0,11/05/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,52,0,0,3,3,3,9,Low Risk,Drinks,Light,Adult,No child,10,Spain
535,1987,Master,Alone,81361,0,0,25/02/2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,28,0,0,5,5,4,14,Low Risk,Meat,Light,Adult,No child,26,Australia
5268,1960,Master,Couple,29440,1,1,11/08/2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,55,2,0,1,1,2,4,Low Risk,Drinks,Medium,Adult,Has child,5,Canada
273,1970,Master,Couple,36138,1,1,16/07/2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,45,2,1,3,2,2,7,Low Risk,Drinks,Heavy,Adult,Has child,8,Spain
4452,1957,Master,Alone,50388,0,1,28/05/2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,58,1,2,5,3,3,11,Low Risk,Drinks,Heavy,Adult,Has child,13,Spain
8504,1973,Master,Couple,79593,0,0,12/05/2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,42,0,1,2,4,5,11,High Risk,Meat,Light,Adult,No child,18,Canada
771,1967,Master,Couple,54178,0,1,21/01/2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,48,1,0,2,2,2,6,Low Risk,Drinks,Light,Adult,Has child,9,Spain
11178,1972,Master,Alone,42394,1,0,23/03/2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,43,1,0,2,1,1,4,Low Risk,Drinks,Light,Adult,Has child,4,Spain
2230,1970,PHD,Couple,23626,1,0,24/05/2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,45,1,0,1,2,1,4,Low Risk,Drinks,Medium,Adult,Has child,7,Canada
7516,1983,Master,Couple,30096,1,0,22/05/2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,32,1,0,4,1,1,6,Low Risk,Fish,Light,Adult,Has child,5,Spain
7247,1960,Master,Alone,47916,0,1,22/11/2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,55,1,1,2,4,3,9,Low Risk,Drinks,Heavy,Adult,Has child,17,India
11100,1972,Master,Alone,51813,1,1,11/04/2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,43,2,0,4,1,2,7,Low Risk,Drinks,Medium,Adult,Has child,5,Spain
4646,1951,Undergraduate,Couple,78497,0,0,01/12/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,64,0,1,3,5,4,12,Low Risk,Meat,Light,Adult,No child,24,South Africa
3037,1983,PHD,Couple,50150,0,0,20/06/2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,32,0,0,4,3,3,10,Low Risk,Drinks,Medium,Adult,No child,14,Spain
1473,1960,Undergraduate,Alone,47823,0,1,23/07/2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,55,1,0,5,1,2,8,Low Risk,Drinks,Medium,Adult,Has child,5,Australia
1016,1959,PHD,Alone,34554,0,1,30/03/2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,56,1,0,3,1,1,5,Low Risk,Drinks,Medium,Adult,Has child,5,South Africa
4518,1979,Master,Couple,85693,0,1,20/04/2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,36,1,0,2,5,4,11,Low Risk,Drinks,Medium,Adult,Has child,25,Spain
9370,1945,PHD,Couple,65846,0,0,17/05/2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,70,0,0,2,3,4,9,Low Risk,Drinks,Light,Senior,No child,15,Spain
8908,1959,Master,Couple,87195,0,0,08/05/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,56,0,0,4,4,4,12,Low Risk,Meat,Light,Adult,No child,19,USA
8373,1979,Undergraduate,Couple,24594,1,0,10/12/2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,36,1,0,1,1,1,3,Low Risk,Fish,Light,Adult,Has child,4,Spain
7533,1964,Master,Couple,49096,1,1,24/09/2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,51,2,0,5,2,2,9,Low Risk,Drinks,Heavy,Adult,Has child,9,USA
2683,1969,Master,Couple,52413,0,2,02/02/2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,46,2,0,3,5,4,12,Low Risk,Drinks,Heavy,Adult,Has child,22,Spain
3629,1978,Master,Alone,38557,1,0,19/12/2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,37,1,0,5,2,2,9,Low Risk,Drinks,Medium,Adult,Has child,7,Spain
10991,1960,Master,Couple,89058,0,0,07/12/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,55,0,0,5,3,4,12,Low Risk,Drinks,Light,Adult,No child,13,Germany
5077,1979,Master,Couple,77298,0,1,02/11/2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,36,1,0,3,5,4,12,Low Risk,Drinks,Light,Adult,Has child,23,India
7431,1991,PHD,Alone,68126,0,0,10/11/2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,24,0,1,3,4,5,12,Low Risk,Drinks,Light,Youth,No child,16,Canada
3267,1963,Master,Couple,57288,0,1,25/06/2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,52,1,1,4,4,3,11,Low Risk,Drinks,Medium,Adult,Has child,17,South Africa
999,1991,Master,Alone,86037,0,0,02/01/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,24,0,2,1,5,4,10,Low Risk,Drinks,Light,Youth,No child,24,Spain
9215,1980,PHD,Couple,43974,1,0,12/12/2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,35,1,0,5,4,3,12,Low Risk,Drinks,Heavy,Adult,Has child,16,Spain
2286,1962,Master,Alone,50785,1,1,10/09/2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,53,2,0,4,2,2,8,Low Risk,Drinks,Medium,Adult,Has child,6,Spain
1592,1970,Master,Couple,90765,0,0,24/01/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,45,0,2,4,3,5,12,Low Risk,Meat,Light,Adult,No child,15,Germany
367,1978,Undergraduate,Couple,36550,1,0,19/02/2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,37,1,0,2,3,3,8,Low Risk,Fish,Heavy,Adult,Has child,15,South Africa
5234,1967,Undergraduate,Couple,30753,1,1,11/07/2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,48,2,0,1,1,2,4,Low Risk,Gold,Medium,Adult,Has child,5,Spain
9862,1969,Master,Couple,21918,1,0,14/11/2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,46,1,0,4,1,1,6,Low Risk,Fish,Medium,Adult,Has child,5,Spain
9805,1953,Master,Couple,56129,0,1,20/06/2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,62,1,0,2,4,4,10,Low Risk,Drinks,Heavy,Adult,Has child,18,Spain
6205,1967,Master,Alone,32557,1,0,24/02/2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,48,1,0,5,2,2,9,Low Risk,Drinks,Medium,Adult,Has child,6,South Africa
8442,1985,Master,Couple,19510,2,0,04/09/2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,30,2,0,2,1,1,4,Low Risk,Drinks,Medium,Adult,Has child,4,Spain
7386,1976,Master,Alone,30992,1,0,22/04/2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,39,1,0,1,1,1,3,Low Risk,Drinks,Light,Adult,Has child,4,South Africa
7215,1983,Master,Alone,101970,0,0,12/03/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,32,0,3,2,5,4,11,Low Risk,Drinks,Light,Adult,No child,27,Spain
1491,1965,Undergraduate,Couple,71488,0,0,18/02/2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,50,0,0,1,3,3,7,Low Risk,Gold,Medium,Adult,No child,14,Spain
11071,1984,Master,Alone,79607,0,0,21/04/2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,31,0,0,4,3,5,12,Low Risk,Meat,Light,Adult,No child,15,South Africa
3381,1953,Master,Couple,54348,1,1,08/06/2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,62,2,0,3,2,2,7,Low Risk,Drinks,Medium,Adult,Has child,6,Spain
11051,1956,PHD,Couple,77376,1,1,10/05/2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,59,2,0,2,4,4,10,Low Risk,Drinks,Heavy,Adult,Has child,19,South Africa
8026,1952,Master,Couple,62998,0,1,30/09/2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,63,1,0,5,3,3,11,Low Risk,Drinks,Heavy,Adult,Has child,14,Spain
